iter,run_id,conclusion,job_started,job_completed,record_started,record_completed,gradle_phases
1,28994443316,success,2026-07-09T04:43:20Z,2026-07-09T04:54:52Z,2026-07-09T04:44:24Z,2026-07-09T04:54:26Z,53s|7m 33s|21s
2,28995055730,success,2026-07-09T04:55:09Z,2026-07-09T05:06:53Z,2026-07-09T04:56:11Z,2026-07-09T05:06:30Z,48s|8m 5s|23s
1,28997552785,success,2026-07-09T06:05:10Z,2026-07-09T06:18:13Z,2026-07-09T06:06:49Z,2026-07-09T06:17:47Z,1m 4s|8m 11s|22s
2,28998332276,success,2026-07-09T06:18:33Z,2026-07-09T06:30:24Z,2026-07-09T06:19:47Z,2026-07-09T06:29:52Z,48s|7m 44s|28s
3,28998864854,success,2026-07-09T06:30:42Z,2026-07-09T06:41:17Z,2026-07-09T06:32:10Z,2026-07-09T06:40:39Z,54s|6m 3s|19s
4,28999360771,success,2026-07-09T06:43:53Z,2026-07-09T06:55:46Z,2026-07-09T06:45:15Z,2026-07-09T06:55:02Z,1m 9s|7m 14s|21s
5,29000060156,success,2026-07-09T06:57:47Z,2026-07-09T07:09:37Z,2026-07-09T06:59:00Z,2026-07-09T07:09:11Z,48s|8m 3s|22s
6,29000710973,success,2026-07-09T07:15:13Z,2026-07-09T07:27:03Z,2026-07-09T07:16:47Z,2026-07-09T07:26:17Z,1m 14s|6m 51s|21s
7,29001588527,success,2026-07-09T07:27:30Z,2026-07-09T07:39:33Z,2026-07-09T07:28:28Z,2026-07-09T07:38:54Z,1m 6s|7m 53s|27s
8,29002272573,success,2026-07-09T07:40:42Z,2026-07-09T07:52:08Z,2026-07-09T07:41:49Z,2026-07-09T07:51:37Z,1m 11s|7m 4s|21s
9,29002914577,failure,2026-07-09T07:52:56Z,2026-07-09T08:07:56Z,na,na,
10,29003745963,success,2026-07-09T08:13:20Z,2026-07-09T08:24:28Z,2026-07-09T08:14:27Z,2026-07-09T08:24:04Z,56s|7m 18s|21s
11,29004689651,success,2026-07-09T08:30:36Z,2026-07-09T08:42:50Z,2026-07-09T08:32:01Z,2026-07-09T08:41:58Z,54s|7m 39s|22s
x,29005727827,success,2026-07-09T08:43:54Z,2026-07-09T08:55:30Z,2026-07-09T08:45:04Z,2026-07-09T08:54:55Z,1m 9s|7m 20s|23s
